!
!        Log(Tau)       T/T(grey)       T(10^4 K)      L
!
           60
     -4.533994E+00    5.462962E+00    7.608605E-01      1
     -4.529230E+00    5.440816E+00    7.618946E-01      2
     -4.519698E+00    5.396868E+00    7.639828E-01      3
     -4.500647E+00    5.310580E+00    7.682432E-01      4
     -4.462521E+00    5.144056E+00    7.771487E-01      5
     -4.386192E+00    4.836589E+00    7.969704E-01      6
     -4.238417E+00    4.340273E+00    8.457529E-01      7
     -4.090806E+00    3.958063E+00    9.111671E-01      8
     -3.943237E+00    3.642499E+00    9.896839E-01      9
     -3.795703E+00    3.337756E+00    1.069130E+00     10
     -3.648205E+00    3.020190E+00    1.139061E+00     11
     -3.500749E+00    2.705982E+00    1.200021E+00     12
     -3.353314E+00    2.418701E+00    1.259209E+00     13
     -3.205885E+00    2.162073E+00    1.318697E+00     14
     -3.058445E+00    1.930883E+00    1.376097E+00     15
     -2.910941E+00    1.723216E+00    1.430192E+00     16
     -2.763346E+00    1.538053E+00    1.480172E+00     17
     -2.615244E+00    1.386277E+00    1.538464E+00     18
     -2.467300E+00    1.274386E+00    1.617575E+00     19
     -2.320107E+00    1.194036E+00    1.715756E+00     20
     -2.173091E+00    1.144248E+00    1.839999E+00     21
     -2.036905E+00    1.146234E+00    2.018506E+00     22
     -1.929798E+00    1.142447E+00    2.138396E+00     23
     -1.842859E+00    1.120243E+00    2.187628E+00     24
     -1.769753E+00    1.091877E+00    2.198544E+00     25
     -1.706534E+00    1.077507E+00    2.219570E+00     26
     -1.650760E+00    1.075379E+00    2.253896E+00     27
     -1.601197E+00    1.073069E+00    2.279392E+00     28
     -1.560947E+00    1.064875E+00    2.283559E+00     29
     -1.530602E+00    1.055319E+00    2.276838E+00     30
     -1.503803E+00    1.047066E+00    2.269072E+00     31
     -1.477004E+00    1.041172E+00    2.264620E+00     32
     -1.436723E+00    1.034739E+00    2.261199E+00     33
     -1.373847E+00    1.026517E+00    2.257880E+00     34
     -1.283611E+00    1.018496E+00    2.260343E+00     35
     -1.159800E+00    1.013268E+00    2.277446E+00     36
     -1.011298E+00    1.012103E+00    2.314012E+00     37
     -8.637096E-01    1.014320E+00    2.365913E+00     38
     -7.162447E-01    1.018903E+00    2.433818E+00     39
     -5.688584E-01    1.025137E+00    2.519069E+00     40
     -4.215158E-01    1.032021E+00    2.622486E+00     41
     -2.741887E-01    1.038186E+00    2.743917E+00     42
     -1.268464E-01    1.042151E+00    2.882469E+00     43
      2.056348E-02    1.042443E+00    3.036411E+00     44
      1.680442E-01    1.038077E+00    3.204070E+00     45
      3.156238E-01    1.030953E+00    3.391683E+00     46
      4.632857E-01    1.023770E+00    3.608863E+00     47
      6.108858E-01    1.017624E+00    3.860888E+00     48
      7.583441E-01    1.012623E+00    4.150022E+00     49
      9.056986E-01    1.008654E+00    4.478061E+00     50
      1.052996E+00    1.005659E+00    4.847339E+00     51
      1.200277E+00    1.003550E+00    5.260447E+00     52
      1.347630E+00    1.002163E+00    5.720189E+00     53
      1.494999E+00    1.001214E+00    6.228557E+00     54
      1.642249E+00    1.000558E+00    6.788146E+00     55
      1.790529E+00    1.000071E+00    7.407459E+00     56
      1.910507E+00    9.998611E-01    7.953355E+00     57
      1.962778E+00    9.998615E-01    8.204869E+00     58
      1.988894E+00    9.998675E-01    8.333645E+00     59
      1.997593E+00    9.998999E-01    8.377068E+00     60
