Name,SpType,LType,n_SpType,Sec,RA J2000 h:m:s,DE J2000 d:m:s,Vmag,Refs
HD 225146 ,O9.7 ,Ib ,  , ,00 03 57.504,+61 06 13.07,8.593,G92
HD 225160 ,O8 ,Ib ,(f) , ,00 04 03.796,+62 13 18.99,8.196,M04
HD 000108 ,O6: , ,f?pe , ,00 06 03.386,+63 40 46.75,7.383,M98
HD 001337 ,O9 ,III: ,(n) ,sec ,00 17 43.059,+51 25 59.12,5.9,M98
HD 005005 A ,O6.5 ,V ,((f)) , ,00 52 49.199,+56 37 39.59,7.76,M98
HD 005005 C ,O8 ,V ,(n) , ,00 52 49.555,+56 37 36.79,8.26,M98
BD +60 261 ,O7.5 ,III ,(n)((f)) , ,01 32 32.720,+61 07 45.84,8.63,G92
HD 010125 ,O9.7 ,II ,  , ,01 40 52.762,+64 10 23.13,8.22,M04
HD 012323 ,ON9 ,V ,  , ,02 02 30.126,+55 37 26.38,8.9,W02b
HD 012993 ,O6.5 ,V ,  , ,02 09 02.473,+57 55 55.93,8.965,W02b
HD 013022 ,O9.5 ,II-III,((n)) , ,02 09 30.067,+58 47 01.58,8.76,W02b
HD 013745 ,O9.7 ,II ,((n)) , ,02 15 45.938,+55 59 46.73,7.86,W02b
HD 014434 ,O5.5 ,V ,n((f))p , ,02 21 52.413,+56 54 18.03,8.491,W02b
HD 014442 ,O5 , ,n(f)p , ,02 22 10.701,+59 32 58.92,9.215,W02b
HD 014633 ,ON8 ,V ,  , ,02 22 54.293,+41 28 47.72,7.458,M98
HD 014947 ,O5 ,I ,f+ , ,02 26 46.992,+58 52 33.11,7.998,W02b
HD 015137 ,O9.5 ,II-III,(n) , ,02 27 59.811,+52 32 57.60,7.87,M98
BD +60 497 ,O6 ,V ,(n) ,sec ,02 31 57.087,+61 36 43.95,8.785,G92
BD +60 499 ,O9.5 ,V ,  , ,02 32 16.752,+61 33 15.07,10.27,G92
BD +60 501 ,O7 ,V ,  , ,02 32 36.272,+61 28 25.60,9.581,G92
HD 015558 ,O5 ,III ,(f) , ,02 32 42.536,+61 27 21.56,7.855,M98
HD 015570 ,O4 ,I ,f+ , ,02 32 49.422,+61 22 42.07,8.11,G92
HD 015642 ,O9.5 ,III: ,n , ,02 32 56.383,+55 19 39.07,8.53,W02b
HD 015629 ,O5 ,V ,((f)) , ,02 33 20.586,+61 31 18.18,8.417,G92
BD +60 513 ,O7 ,V ,n , ,02 34 02.530,+61 23 10.87,9.403,G92
BD +62 424 ,O6 ,V ,((f)) , ,02 36 18.221,+62 56 53.35,8.83,G92
HD 016429 ,O9.5 ,II ,((n)) , ,02 40 44.951,+61 16 56.04,7.67,M98
HD 016691 ,O4 ,I ,f+ , ,02 42 52.028,+56 54 16.45,8.702,W02b
HD 016832 ,O9.5 ,II ,  , ,02 44 12.717,+56 39 27.23,8.85,W02b
HD 017505 ,O6.5 ,V ,((f)) , ,02 51 08.002,+60 25 03.87,7.068,M98
HD 017520 AB ,O8 ,V , ,sec ,02 51 14.434,+60 23 09.97,8.25,G92
HD 017603 ,O7.5 ,Ib ,(f) , ,02 51 47.798,+57 02 54.46,8.452,M04
BD +60 586 ,O7 ,V ,  , ,02 54 10.672,+60 39 03.59,8.476,G92
HD 018326 ,O7 ,V ,(n) , ,02 59 23.171,+60 33 59.50,7.86,M98
HD 018409 ,O9.7 ,Ib ,  , ,03 00 29.719,+62 43 19.05,8.367,G92
HD 019820 ,O8.5 ,III ,((n)) , ,03 14 05.333,+59 33 48.50,7.107,M98
X Per ,O9.5 , ,pe , ,03 55 23.078,+31 02 45.04,6.299,H01
